City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,stanley,54.868,-1.6985,14.6,97,100,1.54,GB,1725243704
1,bethel,41.3712,-73.414,21.75,90,0,0.89,US,1725243578
2,ushuaia,-54.8,-68.3,5.81,70,20,7.72,AR,1725243629
3,puente nacional,5.8774,-73.6781,15.82,95,53,1.69,CO,1725243704
4,ribeira grande,38.5167,-28.7,22.65,77,56,3.58,PT,1725243704
5,puerto natales,-51.7236,-72.4875,2.58,97,73,2.23,CL,1725243704
6,saipan,15.1355,145.701,31.39,74,20,4.12,MP,1725243704
7,waitangi,-43.9535,-176.5597,13.23,92,49,2.24,NZ,1725243704
8,yellowknife,62.456,-114.3525,19.12,77,75,3.09,CA,1725243704
9,kill devil hills,36.0307,-75.676,23.88,96,100,0.0,US,1725243705
10,olonkinbyen,70.9221,-8.7187,6.76,93,31,12.1,SJ,1725243705
11,port-aux-francais,-49.35,70.2167,-0.01,62,100,16.33,TF,1725243705
12,haiku-pauwela,20.9219,-156.3051,26.6,77,46,2.68,US,1725243705
13,katabu,-4.9333,122.5167,28.84,61,100,2.7,ID,1725243705
14,rikaze,29.25,88.8833,15.1,47,83,1.43,CN,1725243705
15,kiunga,-6.1219,141.2906,26.95,91,95,1.6,PG,1725243705
16,uturoa,-16.7333,-151.4333,25.11,76,67,11.66,PF,1725243705
17,adamstown,-25.066,-130.1015,18.18,61,0,8.32,PN,1725243705
18,macau,22.2006,113.5461,33.17,79,20,2.06,MO,1725243573
19,dawei,14.0833,98.2,25.71,89,100,0.59,MM,1725243706
20,jianshui,23.6363,102.8264,23.6,85,75,1.27,CN,1725243706
21,la passe,45.5549,-0.8967,17.78,89,0,0.85,FR,1725243706
22,hilton head island,32.2163,-80.7526,28.32,79,3,0.0,US,1725243574
23,happy valley-goose bay,53.3168,-60.3315,19.17,77,40,3.6,CA,1725243706
24,walvis bay,-22.9575,14.5053,16.84,58,4,5.47,NA,1725243706
25,invercargill,-46.4,168.35,18.9,50,100,8.05,NZ,1725243706
26,papatowai,-46.5619,169.4708,17.5,50,100,3.19,NZ,1725243706
27,clinton,42.587,-82.9199,20.6,72,0,0.89,US,1725243481
28,grytviken,-54.2811,-36.5092,1.0,91,45,4.3,GS,1725243706
29,hermanus,-34.4187,19.2345,11.67,82,89,5.92,ZA,1725243706
30,isafjordur,66.0755,-23.124,7.83,78,74,5.14,IS,1725243707
31,whitehorse,60.7161,-135.0538,15.43,45,75,3.09,CA,1725243707
32,bredasdorp,-34.5322,20.0403,9.86,92,72,3.58,ZA,1725243707
33,mana,5.6592,-53.7767,25.85,90,60,3.78,GF,1725243707
34,thompson,55.7435,-97.8558,16.09,67,75,1.54,CA,1725243707
35,albany,42.6001,-73.9662,21.23,68,21,4.02,US,1725243553
36,keflavik,64.0049,-22.5624,10.24,93,100,10.29,IS,1725243707
37,dudinka,69.4058,86.1778,7.03,68,14,2.74,RU,1725243707
38,boumagueur,35.5052,5.5525,27.53,41,76,1.73,DZ,1725243707
39,holualoa,19.6228,-155.9522,26.25,80,21,2.1,US,1725243707
40,kavaratti,10.5669,72.642,26.96,85,98,6.72,IN,1725243707
41,acarau,-2.8856,-40.12,24.65,84,69,7.03,BR,1725243707
42,blackmans bay,-43.0167,147.3167,9.29,78,98,1.34,AU,1725243708
43,porto velho,-8.7619,-63.9039,27.03,74,0,0.51,BR,1725243437
44,west island,-12.1568,96.8225,27.99,74,40,5.66,CC,1725243708
45,bilibino,68.0546,166.4372,14.64,62,100,1.86,RU,1725243708
46,edinburgh of the seven seas,-37.0676,-12.3116,9.15,62,100,11.44,SH,1725243708
47,kihangara,-2.5833,33.35,21.02,52,82,4.86,TZ,1725243708
48,margaret river,-33.95,115.0667,15.75,72,11,4.23,AU,1725243708
49,iqaluit,63.7506,-68.5145,2.85,93,100,3.09,CA,1725243708
50,touros,-5.1989,-35.4608,22.31,89,62,4.75,BR,1725243493
51,coquimbo,-29.9533,-71.3436,11.85,100,100,2.06,CL,1725243408
52,petropavlovsk-kamchatsky,53.0452,158.6483,20.33,49,40,6.0,RU,1725243708
53,lazaro cardenas,17.9583,-102.2,28.04,79,49,2.23,MX,1725243708
54,nar'yan-mar,67.6713,53.087,8.51,87,100,5.29,RU,1725243708
55,puerto ayora,-0.7393,-90.3518,20.86,91,100,1.34,EC,1725243708
56,eyl,7.9803,49.8164,25.25,67,20,9.32,SO,1725243709
57,zheleznodorozhnyy,55.7503,38.0042,12.75,54,0,1.96,RU,1725243709
58,codrington,-38.2667,141.9667,11.0,58,22,15.15,AU,1725243709
59,yuzhno-kurilsk,44.0306,145.8556,22.09,73,4,2.61,RU,1725243709
60,poronaysk,49.2167,143.1167,21.39,54,54,4.75,RU,1725243709
61,klyuchi,52.2667,79.1667,9.75,78,100,5.14,RU,1725243709
62,mossel bay,-34.1831,22.146,9.96,74,10,6.53,ZA,1725243561
63,sur,22.5667,59.5289,27.88,84,74,7.68,OM,1725243709
64,la'ie,21.6477,-157.9253,29.66,78,6,3.13,US,1725243709
65,ananyiv,47.7201,29.9664,19.99,38,11,3.72,UA,1725243709
66,cascais,38.6979,-9.4215,21.39,83,1,2.24,PT,1725243709
67,tazovsky,67.4667,78.7,6.86,97,100,2.66,RU,1725243710
68,yardimli,38.9206,48.2372,17.54,53,0,0.76,AZ,1725243710
69,laojunmiao,39.8333,97.7333,19.88,50,67,2.11,CN,1725243710
70,kitimat,54.0524,-128.6534,21.62,65,62,2.24,CA,1725243710
71,yasuj,30.6682,51.588,16.75,51,0,0.0,IR,1725243710
72,nazarovo,56.0064,90.3914,8.99,93,100,2.53,RU,1725243710
73,alamosa,37.4695,-105.87,17.99,22,0,5.66,US,1725243710
74,sotuta,20.6,-89.0167,25.3,92,100,2.69,MX,1725243710
75,tralee,52.2704,-9.7026,14.59,99,100,2.47,IE,1725243710
76,tiksi,71.6872,128.8694,6.49,73,11,3.21,RU,1725243710
77,puerto armuelles,8.2833,-82.8667,24.49,94,100,0.45,PA,1725243710
78,pitkyaranta,61.5734,31.4792,10.78,92,17,3.06,RU,1725243710
79,xai-xai,-25.0519,33.6442,15.23,86,0,2.21,MZ,1725243711
80,jamestown,42.097,-79.2353,16.8,77,0,4.12,US,1725243510
81,lebu,-37.6167,-73.65,11.27,97,100,6.94,CL,1725243711
82,puerto deseado,-47.7503,-65.8938,10.1,66,92,5.33,AR,1725243552
83,jayapura,-2.5333,140.7,29.66,68,90,2.1,ID,1725243711
84,labytnangi,66.6572,66.4183,8.39,88,100,5.31,RU,1725243711
85,nemuro,43.3236,145.575,19.15,99,100,3.21,JP,1725243547
86,arroyo,41.6096,-4.7969,18.41,87,0,3.6,ES,1725243711
87,popondetta,-8.7537,148.2534,30.67,59,98,2.03,PG,1725243711
88,manuguru,17.981,80.7547,23.12,98,100,2.29,IN,1725243711
89,necochea,-38.5473,-58.7368,8.33,91,97,5.13,AR,1725243711
90,ilulissat,69.2167,-51.1,2.01,87,100,0.0,GL,1725243711
91,badger,64.8,-147.5333,14.99,60,0,1.54,US,1725243712
92,pampierstad,-27.7832,24.6877,13.49,49,0,2.8,ZA,1725243712
93,karratha,-20.7377,116.8463,31.81,20,0,8.79,AU,1725243712
94,urangan,-25.3,152.9,21.39,79,0,8.03,AU,1725243712
95,kailua-kona,19.6406,-155.9956,28.32,80,5,1.34,US,1725243712
96,punta arenas,-53.15,-70.9167,5.06,70,20,8.23,CL,1725243712
97,nieves,15.3274,120.9485,25.64,92,100,1.33,PH,1725243712
98,port elizabeth,-33.918,25.5701,10.16,93,0,2.06,ZA,1725243712
99,liwale,-9.7667,37.9333,19.95,63,9,4.24,TZ,1725243712
100,cadale,2.7603,46.3222,24.86,79,41,6.95,SO,1725243712
101,leua,48.2156,18.6071,19.7,58,1,2.87,SK,1725243712
102,chernyshevskiy,63.0128,112.4714,13.96,79,26,0.99,RU,1725243712
103,vila franca do campo,37.7167,-25.4333,22.23,64,2,3.73,PT,1725243712
104,jalor,25.35,72.6167,28.63,69,100,2.12,IN,1725243713
